kelime,tanımı nedir,nasıl yapılır,niçin yapılır,ne olunca yapılır,yapınca ne olur,neyi kimi yapılır,kim ne ile yapılır,neye kime yapılır,nerede yapılır,kim ne yapar,fiziksel zihinsel
alýþmak,"[' anmak', '', 'çok kolay yapabilecek bir duruma gelmek', 'art  sorun etmemek', 'intibak etmek', 'uyar duruma gelmek', 'durumu kan kasmak', 'bir duruma adapte olmak', 'tekrar ederek kolayca yapmak', 'bir eyi kabullenmeye ya lamak', 'uyum ya lamak', 'benimsemek', 'bir eylemi yapa yapa', 'rahat hissetmek', 'bir   tekrarlayarak kolay kla yapabilmek', 'bulunulan duruma zamanla adapte olmak', 'bir  ', 'farkl bir duruma  ina olmaya ya lamak', 'bir durumu kabullenmek', 'bir eyin varl  benimsemek', 'bir eyin ola an halk gelmesi']","['sorumluluk almak', ' itmek', 'kabullenmek', 'tekrar etmek', 'ya alarak', 'geç', 'çal arak', 'süre geçirmek', ' zl ya', 'tekrarlayarak', 'zaman geçirmek', 'birliktelikle', 'bekleyerek', 'deneyerek', 'zor', 'adapte olmak', 'rutin', 'zamanla', 'yava']","['kabullenmek', 'geli im', 'üretmek için', 'yak  olmak', 'mecburen', 'uyum ya lamak', 'rahat hissetmek', 'denmek', 'ö denmek', 'düzen ya lamak', 'devaml  ', 'kazanç', 'alt mak', ' zl yapmak', 'uzmanla mak', ' ina olmak', 'ya yanmak', 'ya amak', 'kolay  ya lama', 'adapte olmak', 'üzülmemek', 'rahat etmek']","['tekrarlamak', 'yeni yer', 'sürekli', '  ya latd kan bir süre sonra', 'yava olunca', 'mutsuz', 'yeni ya lamak', 'rahat hissetmek', 'devaml  ', 'yabancı lamak', 'ihtiyaç', 'belirli bir zaman geçmesi', 'defalarca yapmak', 'ya lamak', 'uzun zaman birlikte olunca', 'yabancı ya mak', 'tekrarlanma', 'ortamdan farkl olmak', 'yeni bir ortama girmek', 'sevmek', 'rutin', 'düzenli', 'kullanmak', 'zaman geçmek', 'bilmemek', 'gidince']","['mutlu olmak', 'kabullenmek', 'devaml istemek', 'pratik kazanmak', 'adaptasyon', 'zaman geçer', 'onaylamak', 'geli mek', 'ya lan  ', 'kolayla mak', 'uyum', 'ö denmek', 'kolay ', ' olan  ', 'sevilmek', 'uzmanla mak', ' daha kolay gelir', 'ya yanmak', 'normalle mö', 'mevcut durum kabul edilir', 'rahatlamak']","['', 'uygulamalar', 'yakla ', 'insan', 'sahip', 'nesneye insana', 'ortam', 'olay', 'ki ilik', 'uzun süre ayn süreç devam ediyor ise']","['aletleriyle', '', 'kalp', 'nesne', 'zaman', 'dü ünce', 'insan', 'çevre', 'ya kurmak', 'davran', 'ebeveyn', 'hiç', 'örnek', 'el', 'eylem', 'herkes']","['', 'zorluk', 'petshop', 'arkada', 'olay', 'ürüne', 'sigara', 'her ey', 'büyük şehir', ' yeri', 'ortam', 'ki ', 'yan zl ', 'ev', ' ya', 'sevgili', 'telefon', 'hayvan', 'okul', 'duruma', 'ko ul', 'alkol', ' ortam', 'durum', 'insan', 'hayvanat bahçesi', 'yabancı', 'nesne']","['okul', 'her yerde', '', '  ', 'her yer', 'okul  itim yeri', 'önünde', 'fabrikada', 'yeri', ' yeri', ' tek', 'hayat', 'ev', 'heryer', 'herhangi bir yerde', 'askeriye', 'uygun ortam', 'evde']","['asker', 'arkada', 'memnun', 'çocuklar', 'sevgili', 'hayvan', 'gönül ayn durumlar tekrar eder', 'herkes', 'ö resmen', 'çi', ' çi', 'insanlar', 'bebek', 'kedi', 'insan', 'hayvanlar', 'stajyer', 'ya ', 'ö renci', 'canlı', 'çocuk']",['fiziksel']
anlamak,"['bir olay', 'neyi gösterdi ini kavramak', 'bir tür ç kapsama yapmak', 'yeni bilgileri eskileriyle birle girerek bir sonuca ula mak', 'verilen bilgiyi özümsemek', 'bir simgenin', 'bir eyin nas  çal   çözmek', 'özümsemek', 'sözcü ün', 'durum ya ya olay  nedenlerini kavramak', 'bir konuyu detaylar  anlatabilecek kadar kavramak', 'bir eyin ne demek oldu unu kavramak', 'neye  aret etti ini kavramak', 'bir eyi alg lamak', 'ö denmek', 'kavramak', 'bir eyi kavramak', 'bir eyin ne demek oldu unu', 'fikri kavramak', 'anlat lan ö denmek', 'bir konuyu kavramak', 'olgu ya ya davran  ne demek oldu unu', 'konuyu kavramak', 'bir sözün']","['dinlemek', 'çabuk', 'empati', 'dinleyerek', 'dü inerek', 'diyalog', 'dü inmek', 'kolay', 'zor', 'kolayca', 'empati yaparak', 'ara  irmak', 'hemen', 'detaylı', 'okuyarak', 'idrak etmek']","['kavramak için', 'ö retmek', 'anlamak', 'huzurlu ortam ihtiyac nda', 'ö denmek', 'merak etmek', 'kavramak', 'anla mak', 'ögrenmek', 'denmek', 'ö denmek için', 'anlasmak', 'alg lamak', 'ö denmek istemek']","['sonuca ula mak', 'anlamamak', 'bilgi eksikli ', 'ö denince', 'anlat lmak', 'kaosun önüne geçmek', 'dü inmek', 'anlamak nca', 'anla olmamak', 'çal mak', 'ö denmek', 'anlat  nca', 'okumak', 'ne demek oldu unu bilmiyorsan', 'ara  irmak', 'karma  olmak', 'bilmemek', 'anlatılmak']","['ö denir', 'ö yenilir', 'yenilir', 'kendine güvenmek', 'dü inmek', 'anla lmak', 'ö denmek', 'kavramak', 'ya arma', 'anlar', 'anlatmak', 'anlamak', 'fikir', 'anlamlara  rs ', 'bilgilenmek', 'dos ulu unu kavrar ', 'anlat lmak', 'huzur', 'bilmek', 'bilgi sahibi', 'öğrenilir']","['', 'problem', 'olay', 'anlat lan', 'gerçek', 'soru', 'ödev', 'konu', 'beyin', 'bak aç ', 'bilgi', 'cevap', 'fikir', 'durumu', 'kitap', 'durum', 'ö reti', 'insan', 'konuyu', 'ingilizce dersi', 'ders', 'çocuk']","['zeka', 'az ', 'zihin', 'örnek', 'aile', 'incelemek', 'kulak', 'soru', 'çözmek', 'konu', 'beyin', 'anlatmak', 'bilgi', 'fikir', 'ispat', 'kitap', 'ö resmen', 'gazete', 'ders']","['', 'anlat ', 'probleme', 'durum', 'arkadas', 'dü ünce', 'insan', 'ki ', 'olay', 'kendi', 'ö resmen', 'ö renci', 'bilemeyen', 'örnek soru', 'ogrenci']","['', 'her yerde', 'okul', 'her yer', '  ', '  fta', 'okulda', 'heryerde', 'zihin', 'ders', 'ev', 'herhangi bir yerde', 'dershane', 'evde']","['ogrenci', 'baba', 'kursiyer', 'insan', 'ö resmen', 'ö renci', 'hayvan', 'anne', 'herkes', 'çocuk']",['zihinsel']
anlatmak,"['fikir sunmak', 'birisine bir konuyu anlamak  ya lamak', 'bir konunun anla elmas  ya lamak', 'bir konuyu aç klay  bir yolla söylemek', 'izah etmek', 'bir bilgiyi aktarmak', 'bir kavram belirtmek', 'aç kalmak', 'bilgi vermek', 'bilgiyi aktarmak', 'bir bilgiyi  az ya aktarmak', 'bir konuyu izah etmek', 'ifade etmek', 'bilgi vererek aç kalmak', 'bir durum ya ya olay ya kas ya aktarabilmek', 'olay ifade etmek', 'bir konuyu', 'bilgi aktar  ya lamak', 'birinin bir konuyu ya ya eyi anlamak  ya lamak için bilgi vererek aç kalmak']","['yazarak', 'aç kayarak', 'konu arak', 'yazmak', 'aç kalmak', 'ayr nt ', 'konu mak', 'göstererek', 'beden dili', 'sesle', 'uygulama', 'detaylı', 'örnek vererek', 'yüzeysel', 'sözel', 'anlatarak', 'ders', 'göstermek', 'konusarak']","['ortaya ç kurmak', ' itmek', 'ö retmek için', 'ö retmek', 'anla lmak', 'tek hiç', 'aç kalmak', 'bilgi aktar ', 'ö resmen', 'çözüm üretmek', 'bilgi vermek', 'iyice mek', 'bilgilendirmek', 'rahatlamak']","['ihtiyaç duymak', 'anla lmad  dü inmek', 'anla umay nca', 'dertli', 'sorulmak', 'ne olmamak', 'ö denmek', 'anlamak  ya lamak', 'dinlenince', 'anlatmak', 'uyku', 'ö retmek', 'anla olmamak', 'ö çetince', 'ogretmen olmak', 'ö resmen olmak', 'hata yapmak', 'hasta ', 'kar daki bilmeyince', 'yeni konuya geçince', 'bilmemek', 'hastalanmak']","[' itmek', 'mutlu olmak', 'uyumak', 'tedavi', 'anla   olmak', 'hayal kurmak', 'izah edilir', 'üretilir', 'anla lmak', 'aç kalmak', 'ö denmek', 'kavramak', 'yorulmak', 'tedavi olmak', 'anlatmak', 'ö retmek', 'anlamak', 'anla  ', 'rahatlar', 'ö renci ö denir', 'rahatlama']","['ö reti', 'an', 'bilgi', 'hak ya', 'konuyu', 'dersi', 'hasta ', 'olay', 'kitap', 'ders', 'hiç', 'problem', 'prosedür', 'soru', 'masal', 'konu']","['az ', 'arkada', 'tan   ki iler', 'örnek', 'ö üt', 'sunum', 'çizim', 'konu mak', 'tebe ir', 'kalem', 'beyin', 'tahta', 'mimik', 'yaz ', 'meteryal', 'tetkik', 'fikir', 'söz', 'tanitdik kisiler', 'uygulama', 'yetenek', 'tarif', 'tecrübe', 'sözlü', 'ö renci', 'dil']","['', 'cocuk', 'hasta', 'torun', 'doktor', 'insan', 'arkada', 'personel', 'anla lmak', 'çocuk', 'ki ', 'soruya', 'çocuklar', 'ö renci', 'dinleyici', 'ç rak']","['okul', 'her yer', '  ', '  fta', 'okul  itim yeri', ' yeri', 'ofis', 'hastane', 'caf', 'ev', 'ders', 'dershane', 'toplantı', 'seminer']","['hasta', 'baba', 'dede', 'nsan', 'doktor', 'insan', 'arkada', 'ebeveyn', 'yönetici', 'ö resmen', 'babaanne', 'ogretmenler', 'ö etmenler', 'hoca', 'usta', 'anne', 'sunucu', 'herkes']",['zihinsel']
anmak,"['önceden ya an olanlar hak alatmak', 'bir objenin laf geçmek', 'birini veya bir eyi akla getirerek sözünü etmek veya onu dü inmek', 'hak olamak', 'bir kimseyi ya ya bir eyi an sayarak sözünü etmek', 'ad  dile getirmek', 'olay', 'akla getirerek sözünü etmek veya onu dü inmek', 'sayı duymak', 'geçmiş bir durumun zihinde belirmesi', 'akl ya gelip ad  söylemek', 'zikretmek', 'söylemek', 'bir eyi ya ya kisiyi hak olamak', 'bir kimseyi an sayarak ondan söz etmek', 'zaman hak olamak', 'bir an  tekrardan dü inmek', 'bir ki  ya ya nesneden söz etmek']","['derin', 'foto rafa bakmak', 'dü inerek', 'sayı ', 'sayı duru unda', 'soz', 'akla getirme', 'hak olamak', 'dü inmek', 'sayı yla', 'söyledi ', 'güzel', 'ismini söyleyerek', 'iyi', 'bahsederek', 'hak layarak', 'sayı duru ', 'dikilmek', 'hissiyat', 'düzenlenmek', 'söz', 'çal mak', 'zihinde', 'özlemle', 'üzgün', 'hissederek']","['hak olamak için', 'özlem', 'hak alatmak', 'ö retmek', 'hak olamak', 'dü inmek', 'sayı göstermek', 'sahip ç kmak', 'sahip cikmak', 'sayı duymak', 'sayı', 'bahsetmek', 'önem vermek', 'özledi  için', 'unutmamak', 'özlemek']","[' dönümü', 'akl ya gelince', 'bahsi geçmek', 'dusunmek', 'ölmek', 'özlemek', 'an mamak', 'hak olamak', 'dü inmek', 'istemek', 'gözlenince', 'ölünce', 'zaman gelmek', 'özlem', 'geçmiş', 'dü ününe', 'fark ndal ', 'unutulmak', 'bir konuda bahsi geçince', 'hak ya', 'on kas ', 'bahsetmek']","['özlem gidermek', 'hak rlan ', 'yad etmek', 'ya amak', 'bilinç', 'anlamak', 'hak olamak', 'nostaljik', 'huzurlu olmak', 'hak ulaşmak', 'geli mek', 'akla gelir', 'uygulanmak', 'duymak', 'unutmamak', 'anmak', 'rahatlamak']","['türk bayra', 'diri', 'baba', 'an', 'insan', 'dost', 'davran', 'ismini', 'an lar', 'ki ', 'olay', 'tören', 'ölü', 'sayı', 'aile', 'ata', 'anne', 'hak radar']","['dua', 'toplum', 'dü ünce', 'arkada', 'duygu', 'dü inerek', 'olay', 'tören', 'iir', 'atatürkü', 'aile', 'resim', 'an', 'sayı yla', 'sayı', 'özlem', 'empati', 'eski dost', 'sayı duru ', 'ö resmen', 'cicek', 'çiçek', 'bayrak', 'insan', 'özlemle', 'hak ya', 'hasret']","['atatürk', 'ebeveyn', 'vefat neden', 'unutulmayan', 'sevdi iş ki ', 'ki ', 'ölü', 'dinleyicilere', 'lider', 'mezar', 'hayvan', 'akraba', 'geçmiş ', 'uzun süre görü ölmeyen insan', 'aile büyü ü', 'ki iye', 'kurum', 'insan', 'dost', 'ataturke', 'ö renci', 'nesne']","['', 'cenaze', 'heryerde', 'tören', 'cenaze töreni', 'mezar ', 'her yerde', 'meydan', '  ', 'cevre', 'ev', 'anma gününde', 'mezar', 'an ', 'konu ya alan nda', 'okul', 'sokak', 'an tabir', 'zihinde', 'evde', 'konferans salonu', 'herhangi bir yerde']","['', 'kad ', 'ölü yak ', 'baba', 'halk', 'insan', 'konu an adam', 'devlet erkan', 'ölü', 'insanlar', 'ö resmen', 'hayvan', 'erkek', 'anne', 'herkes', 'çocuk']",['zihinsel']
araba surmek,['araba kullanmak'],['pedallara basmak'],['gezmek'],['yol katetmesi gerekmek'],['performans'],['araba'],['otobus'],['arac'],['yolda'],['insan'],
araba sürmek,"['ya  kullanmak', 'arabay kullan  yürütmek', 'bir arabay kontrol ederek bir yerden ya ya bir yere gitmek', 'arabay kullanmak', 'arac yönetmek', 'bir arac kullanmak', 'araba kullanarak ula  ya lamak', 'arabay bir noktadan bir noktaya götürmek', 'otobüs vb ula  araçlar   kullan elmas', 'araba kullanma eylemi', 'arabaya binip gitmek', 'araba kullanmak', 'bir ya  kullanmak', 'otomobil', 'araba ile bir yerden bir yere gitmek', 'arabay yolda yönetmek', 'bir binek kullanmak']","['süratli', 'dikkatli', 'pedallara basmak', 'refleks göstermek', 'gaza basmak', 'araç', 'dikkatlice', ' zl', 'dü inmek', 'oturmak', 'sürmek', 'konu mak', 'efor koltuk unda kumanda ederek', 'keyifli', 'sürerek', 'araba kullanarak', 'direksiyon', 'basarak', 'ehliyet', 'kullanmak', 'kullanarak']","['seyahat', 'yar mak', 'ula mak', 'ula mak istemek', 'ula ', 'ula  irmak', 'bir yere gitmek', 'bir yerden bir yere gitmek', '  gitmek', 'yeti mek', 'varmak', 'gezmek', 'gitmek', 'hareket etmek için', 'ula  ya lamak', 'ilerlemek', 'yol almak']","['seyahat etmek', 'can   lmak', 'arabaya binmek', 'istemek', 'binince', 'acele etmek', 'bir yere ula mak', 'gelmek', 'ihtiyaç', 'ula ', 'yeti mek', 'varmak', 'yolculuk', 'gezmek için', 'yolculuk amaç', 'geçememek', 'saat gelince', 'uzak olmak', 'yük ya ya', 'uzun yol gitmek', 'bir yere gitmek isteyince', 'yol katetmesi gerekmek', 'gitmek']","['seyehat etmek', 'konum dek  girilir', 'keyif almak', ' zl ya ula mak', 'seyahat', 'trafik', 'vakit', 'ilerlemek', 'gitmek istedi iş yere var rs ', 'yeti mek', 'varmak', 'gezmek', 'gidilmek', ' denmek', 'ula mak', 'performans', 'yer dek  girme', 'bir yere varmak', 'gitmek']","['seyahat', 'araç', 'hobi', 'araba', 'tekerlek', 'direksiyon', 'ya ', 'taksi', 'nesne']","['baba', 'sürücü', 'refleks', 'debriyaj', 'zihin', 'aile', 'ayak', 'araç', 'otobüs', 'yolcu', 'taksi', 'ö denmek', 'el', 'pedalı', 'alt kanl ', 'direksiyon', 'gaz', 'yolculuk', 'gezmek', 'ehliyet', 'fren', 'kamyon', 'araba', 'ya ']","['araç', 'halk', 'för', 'insan', ' adam', 'araba', 'yola', 'yolcu', 'direksiyon', 'gaz', 'ev', 'tatile', 'arabaya', 'pedalı', 'fren']","['', 'sokak', 'trafik', 'şehir', 'yolda', 'yol', 'arabada', 'ev', 'köprü', 'cadde', 'pist', 'otoban', ' az ya', 'arazi']","['', 'kad ', 'baba', 'sürücü', 'insan', 'för', 'pilotu', 'şoför', 'efor', 'robot', 'erkek', 'anne', 'yeti ki', 'sürücüler']",['fiziksel']
aramak,"['konu mak için elektronik cihaz ile yap  ', 'olmayan bulmaya çal mak', 'bir eyi bulmaya çal mak', 'sonucu bulmaya çal mak', 'telefon ile görü mö ya atmak', 'bir nesneyi ya ya ki iyi bulmaya çal mak', 'yoklamak', 'bir kimseyi ya ya bir eyi bulmak için ara  irmak', 'bir eyi ara  irmak', 'etrafta dola  bir eyin varl  sorgulamak', 'telefon etmek', 'birini', 'hak  sormak', 'kay  bir eyi bulmaya çal mak', 'bir ki iye telefon etmek', 'telefona numara girip çalı irmak', 'ula maya çal mak', 'birine ula maya çal mak', 'birini veya bir eyi bulmaya çal mak']","['nadiren', 'şu lamak', 'dikkatli', 'dü inerek', 'teknolojik cihaz kullan larak', 'aceleyle', 'aramak', 'ara  barak', 'tuşlayarak', 'bakarak', 'telefon açarak', 'şu layarak', 'ilan', 'etraf ya', 'çok', 'ara  irmak', 'konu mak', 'telefon etmek', 'telefon', 'endi eli', 'numara şu lamak', 'pek inden giderek', 'sesli', 'arayarak', 'gezmek', 'basarak', 'detaylı', 'teknoloji', 'dola arak', 'kolayca', ' tutmak']","['kez etmek', 'uzaktan ileti im', 'bulmak istemek', 'hal hak  sormak', 'zengin olmak', 'ikna etmek', 'özlemek', 'yoklamak', 'yardim istemek', 'bulmak', 'konu mak', 'sesini duymak', 'çözmek', 'sormak', 'dos ru sonuca ula mak için', 'hak  sormak', 'haber vermek', 'yarı  istemek', 'ula mak', 'bilgi edinmek', 'rahat etmek']","['kay  olmak', 'kaybolunca', 'ihtiyaç duymak', 'alt  bulmak istemek', 'özlemek', 'hak olamak', 'heveslenen', 'haber almak', 'haber alamamak', 'özleyince', 'kaybetmek', 'bulmak', 'seçenekli soru sorulunca', 'sormak', 'numara şu lamak', 'kaybolmak', 'kaza', 'merak etmek', 'bayram', 'korkmak', 'bilgi almak', 'merak', 'problem olunca', 'ihtiyac olmak', 'kayip olmak']","['kamu mak', 'mutlu olmak', 'musteri kazanmak', 'muayene olmak', 'ileti im', 'dertle ersin', 'ö denmek', 'bulmak', 'mü teri kazanmak', 'yorulmak', 'merak gidermek', 'para kazanmak', 'bak anmak', 'konu ya', 'konu olur', 'bulunur', 'sakinler mek', 'bilgiye ula mak', 'görü mö', 'ileti im kurmak', 'ula mak', 'konuşursun', 'cevap bulunur', 'hasret gidermek', 'bulunmak', 'rahatlamak']","['', 'baba', ' ', 'arkada', 'ça  merkezi', 'aile', 'meslek', 'erkek', 'olaya', ' ya', 'kay   ya', 'defne', 'akraba', 'özlem', 'dede', 'cevap', 'maden', 'aranan ki ', 'kay  insan', 'insan', 'dost', 'göz', 'cagri merkezi', 'nesne']","['özlem', 'polis', 'bilgisayar', 'ekipman', 'internet', 'telefon', 'dedektör', 'dost sesi', 'fener', 'göz', 'aile', 'ahize', 'göz ile', 'el', 'gazete', 'beyin', 'anons', 'vücut']","['', 'baba', 'merak edilen ki ', 'kaybolana', 'muhtemel cevaplara', 'arkadas', 'ki ', ' ya', 'kalem', 'hayvan', 'sevgili', 'anne', 'evlat', 'alt kanl ', 'insana', 'mü teri', 'maden sahibi', 'kay  insan', 'torun', 'insan', 'dost', 'aranan', 'soruya', 'ambulans', 'nesne', 'çocuk']","['', 'dergi', 'telefon kulübesi', 'internet', 'odada', 'yol', 'ofis', 'tünel', 'orman', 'ev', 'sokak', 'okul', 'ya ara', 'telefonda', 'maden', 'gazete', 'evde', 'arazi', ' nava', 'kulübe', 'yere kenar']","['', 'baba', 'arkada', 'babaanne', 'aile', 'polis', 'nsan', 'sekreter', 'sevgili', 'karde', 'operatör servisleri', 'anne', 'herkes', 'madenci', 'robot', 'arayan ki ', 'torun', 'insan', 'dost', 'ö renci', 'çocuk']",['fiziksel']
artmak,"['bir eyin adedinin yükselmesi', 'sayı ya ço ama', 'bir eyin sayı   ço almak', 'miktar   kl  öncekine göre fazla olmas', 'bir eyin sayı ya yükselmesi', 'o almak', 'bir eyin ço almas', 'fazla kalmas', 'ço almak', 'miktar  fazlaca mas', 'eskisinden daha çok olmak']","[' zla', 'saat  almak', 'exponansiyel', 'birikme', 'biriktirmek', ' zl', 'sayı   art barak', 'zam', 'üremek', 'tutumlu olarak', 'ço alarak', 'yükselerek', 'yukselerek', 'dek erini yükselterek', 'payla mak', 'detaylı', 'dogrusal', 'düzenli', 'ekleyerek', 'üreyerek']","['ihtiyaç duymak', 'nüfus artmak', 'geçinmek', 'tüketmek', 'nüfus sayı ', 'ço almak', 'biriktirmek', 'fazlaca  irmak', 'bo luk', 'enflasyon', 'faiz', 'dek ek belirlemek', 'doland irmak', 'ticaret', 'ürün almak', 'art irmak', 'cogaltmak', 'sayı   yükseltmek', 'dek ek kazanmak', 'yat  ']","['saat  almak', 'ihtiyaç duymak', 'azalmak', 'birikimsiz', 'konu ya yapmak', 'alt veri yapmak', 'kar kl ', 'yeterli olmamak', 'dos um', 'ihtiyac', 'fakirle mek', 'fazlaca mak', 'maliyet art nca', 'para kazanmak', 'gelmek', 'tl dek ek kaybedince', 'ihtiyaç', 'ekonomik nedenler', 'fazla olmak', 'büyüme döneminde olmak', 'isteyince', 'az olunca', 'kalabak ', 'para laz  olmak', 'çocuk ölümü']","['boyu uzamak', 'düzen', 'üretim', 'ço almak', 'zengin olmak', 'dolar dek eri artar', 'birikimli', 'enflasyon', 'saklamak', 'bolluk', 'sayim', 'zenginlik', 'fazlaca ya', 'ço alt ', 'sayı  artmak', 'yükselir', 'nüfus art', 'ya mak', 'sayı ']","['dek ek', 'endeks', 'nesneye', 'ticaret', 'fark', 'uzunluk', 'cinsiyet', 'klavye', 'soru', 'fiyat', ' ya', 'para', 'art ']","['üreme', 'dek ek', 'dos um', 'tl', 'banka', 'zaman', 'sevgi', 'rakamlar', 'aile', ' ya', 'kumbara', 'para', 'nesne', 'birikim']","['', 'gariban', 'tl', 'insan', 'saat ', 'urun', 'dünya', 'ki ', 'dosya', 'ürün', 'fiyat', 'hane', 'hayvan', 'para', 'nesne']","['', 'her yer', 'piyasa', 'pazar', 'manav', 'sofra', 'cevre', 'hesap cüzdan', 'banka', ' yeri', 'ev', 'borsa', 'sebze', 'kiler', 'bilgisayar', 'maket', 'mutfak', 'inline', 'salon', 'evde', 'dünya', 'ekonomide']","['yat  mc', 'baba', 'fiyat', 'erzak', 'her ey', 'enflasyon', 'faiz', 'madde', 'ödev', 'karde', 'kalem', 'hayvan', 'canlı lar', 'anne', 'herkes', 'ev kiras', 'yemek', ' nav', 'insan boyu', 'dolar', 'nüfus', 'insan', 'döviz', 'defter', 'para', 'nesne']",['fiziksel']
arzu etmek,"['istemek', 'bir ey istemek', 'çok istemek', 'bir eyi çok istemek', 'yürekten istemek', 'bir eyin ya ya durumun sahipli ini istemek', 'bir ele heves etmek', 'bir eyi istemek', 'bir eyin olmas  istemek', 'duygusal bir biçimde istemek', 'gönülden istemek']","[' ', 'dü inerek', 'beş etmek', 'hayal kurmak', 'hissetmek', 'evet', 'sehvet', 'şehvetle', 'yo ön', 'isteyerek', 'çal arak', 'severek', 'istemek', 'dü inmek', 'çok', 'istekli', 'pi girmek', 'duygusal', 'söyleyerek', 'delice', 'tutkulu', 'şevhetle', 'hayal ederek']","['içgüdü', 'özlemek', 'ula mak', 'mezun olmak', 'istemek', 'çok sevmek', 'sahip olmak', 'ya az', 'arzulamak', 'doymak', 'elde etmek', 'evlenmek', 'mutluluk', 'anmak']","['ç kar olunca', 'beş etmek', 'geçmiş tek  bakmak', 'çok isteyince', 'özlemek', 'akla gelince', 'can çekince', 'istemek', 'ayr kalmak', 'bir eyi beş edince', 'özlem', 'dü ününe', 'dü ük bot olunca', 'kahvaltı yapmak', 'az kmak', 'görmek', 'özenmek', 'sevmek', 'stemek']","['mutlu olmak', 'doymak', 'mutluluk', 'ya az ', 'evet', 'sevinmek', 'almak', 'istemek', 'sevinç', 'beş ersin', 'heveslenen', 'hoş yanmak', 'elde etmek', 'özlem', 'istekli olmak', 'mutlu olunur', 'hüzün', 'tak nt', 'kamu olur']","['', 'nesneye', 'istenilen ki  yada ey', 'arkada', 'bot', 'aile', 'fiyat', 'almak', 'sevdi ini', ' itim süreci', 'olaya', 'sevgili', 'beyin', 'istek', 'özlem', 'günah', 'geçmiş', 'ek', 'yemek', ' lence', 'arzu', 'insana', ' afet', 'olayanesneyeinsana', 'görmek', 'insan', 'an lar', 'çay', 'nesne']","[' ', 'dü ünce', 'az ', 'duygu', 'nefis', 'dilek', 'evet', 'erkek', 'istemek', 'sebze', 'hormon', 'özlem', 'istedi  ey', 'grup', 'kendi', 'kalp', 'hedef', 'ses', 'dil']","['', 'baba', 'arkada', 'yiyecek ', 'aile', 'oyuncak', 'sevgili', 'hayvan', 'anne', 'paraya', 'yemek', 'arzu', 'diplom', 'durum', 'kendine', 'insan', 'araba', 'saat ', 'özlem duyulan ki ', 'nesne']","['', 'her yer', 'heryerde', 'az ', 'zihin', 'az lda', 'her yerde', 'cevre', 'ev', 'galeri', 'okul', 'sokak', 'mutfak', 'evde', 'ya aza', 'okulda', 'yemekhane', 'herhangi bir yerde', 'akilda', 'beyinkalp']","['cocuk', '', 'kad ', 'yemek', ' ', 'sevgili', 'nsan', 'herkes', 'insan', 'arkada', 'renci', 'ö renci', ' çi', 'giri inci', 'canlı', 'erkek', 'alt ', 'çocuk']",['zihinsel']
asik olmak,"['sevmek', 'tutulmak']",['sevmek'],['mutluluk'],['hissetmek'],['sevgili olmak'],['hastalik'],['karsi cins'],['erkek'],['yol'],['insan'],
